Area	Brand	Age	Device	Region	RGB Count	"Data User count
Monthly usage>100 MB"	 Total Data Usage (GB) 	" Total usage of Data Users with
Monthly usage>100 MB "
Selected	Robi	25-29 yrs	2G Device	Brahmanbaria 	861	127	 231 	 230 
Selected	Robi	25-29 yrs	3G Device	Brahmanbaria 	1838	107800%	" 2,846 "	" 2,838 "
Selected	Robi	25-29 yrs	4G Device	Brahmanbaria 	894	648	" 2,534 "	" 2,531 "
Selected	Robi	25-29 yrs	Basic	Brahmanbaria 	1901	248	 436 	 433 
Selected	Robi	25-29 yrs	Others	Brahmanbaria 	210	77	 178 	 177 
Selected	Robi	30-34 yrs	2G Device	Brahmanbaria 	1331	118	 178 	 175 
Selected	Robi	30-34 yrs	3G Device	Brahmanbaria 	2287	1205	" 2,838 "	" 2,828 "
Selected	Robi	30-34 yrs	4G Device	Brahmanbaria 	1098	797	" 2,657 "	" 2,654 "
Selected	Robi	30-34 yrs	Basic	Brahmanbaria 	3059	256	 451 	 446 
Selected	Robi	30-34 yrs	Others	Brahmanbaria 	252	72	 78 	 77 
Selected	Robi	35-39 yrs	2G Device	Brahmanbaria 	1277	112	 156 	 153 
Selected	Robi	35-39 yrs	3G Device	Brahmanbaria 	1906	979	" 2,102 "	" 2,093 "
Selected	Robi	35-39 yrs	4G Device	Brahmanbaria 	916	662	" 2,027 "	" 2,025 "
Selected	Robi	35-39 yrs	Basic	Brahmanbaria 	2806	228	 463 	 459 
Selected	Robi	35-39 yrs	Others	Brahmanbaria 	232	64	 93 	 92 
Selected	Robi	40-44 yrs	2G Device	Brahmanbaria 	974	77	 91 	 90 
Selected	Robi	40-44 yrs	3G Device	Brahmanbaria 	1306	670	" 1,694 "	" 1,688 "
Selected	Robi	40-44 yrs	4G Device	Brahmanbaria 	609	438	" 1,624 "	" 1,622 "
Selected	Robi	40-44 yrs	Basic	Brahmanbaria 	2100	145	 219 	 216 
Selected	Robi	40-44 yrs	Others	Brahmanbaria 	202	49	 126 	 125 
Selected	Robi	45-59 yrs	2G Device	Brahmanbaria 	1890	172	 204 	 200 
Selected	Robi	45-59 yrs	3G Device	Brahmanbaria 	2326	1280	" 3,052 "	" 3,041 "
Selected	Robi	45-59 yrs	4G Device	Brahmanbaria 	1083	787	" 2,513 "	" 2,510 "
Selected	Robi	45-59 yrs	Basic	Brahmanbaria 	4059	322	 636 	 631 
Selected	Robi	45-59 yrs	Others	Brahmanbaria 	318	88	 158 	 157 
Selected	Robi	60+ yrs	2G Device	Brahmanbaria 	579	36	 50 	 49 
Selected	Robi	60+ yrs	3G Device	Brahmanbaria 	621	318	 697 	 694 
Selected	Robi	60+ yrs	4G Device	Brahmanbaria 	282	208	 663 	 662 
Selected	Robi	60+ yrs	Basic	Brahmanbaria 	1300	57	 136 	 135 
Selected	Robi	60+ yrs	Others	Brahmanbaria 	90	22	 42 	 41 
Selected	Robi	OTHERS	2G Device	Brahmanbaria 	1	0	 -   	
Selected	Robi	OTHERS	3G Device	Brahmanbaria 	1	0	 -   	
Selected	Robi	OTHERS	4G Device	Brahmanbaria 	0	0	 -   	
Selected	Robi	OTHERS	Basic	Brahmanbaria 	1	0	 -   	
Selected	Robi	OTHERS	Others	Brahmanbaria 	0	0	 -   	
Selected	Robi	<=24 yrs	2G Device	Chittagong Metro	17268	3686	" 4,951 "	" 4,871 "
Selected	Robi	<=24 yrs	3G Device	Chittagong Metro	32106	20211	" 41,044 "	" 40,870 "
Selected	Robi	<=24 yrs	4G Device	Chittagong Metro	15861	12102	" 41,300 "	" 41,235 "
Selected	Robi	<=24 yrs	Basic	Chittagong Metro	35595	6414	" 9,269 "	" 9,157 "
Selected	Robi	<=24 yrs	Others	Chittagong Metro	5884	2577	" 5,682 "	" 5,659 "
Selected	Robi	25-29 yrs	2G Device	Chittagong Metro	58760	8765	" 11,337 "	" 11,132 "
Selected	Robi	25-29 yrs	3G Device	Chittagong Metro	92903	53392	" 109,537 "	" 109,055 "
Selected	Robi	25-29 yrs	4G Device	Chittagong Metro	39118	28894	" 102,073 "	" 101,927 "
Selected	Robi	25-29 yrs	Basic	Chittagong Metro	124435	16630	" 23,556 "	" 23,247 "
Selected	Robi	25-29 yrs	Others	Chittagong Metro	15061	6127	" 14,261 "	" 14,204 "
Selected	Robi	30-34 yrs	2G Device	Chittagong Metro	81522	8855	" 12,366 "	" 12,154 "
Selected	Robi	30-34 yrs	3G Device	Chittagong Metro	112703	59676	" 123,789 "	" 123,240 "
Selected	Robi	30-34 yrs	4G Device	Chittagong Metro	42799	30604	" 108,298 "	" 108,141 "
Selected	Robi	30-34 yrs	Basic	Chittagong Metro	171664	17926	" 25,928 "	" 25,579 "
Selected	Robi	30-34 yrs	Others	Chittagong Metro	18096	6127	" 13,970 "	" 13,909 "
Selected	Robi	35-39 yrs	2G Device	Chittagong Metro	71250	7330	" 9,002 "	" 8,812 "
Selected	Robi	35-39 yrs	3G Device	Chittagong Metro	89918	45800	" 93,495 "	" 93,056 "
Selected	Robi	35-39 yrs	4G Device	Chittagong Metro	33642	23883	" 81,954 "	" 81,829 "
Selected	Robi	35-39 yrs	Basic	Chittagong Metro	141071	13400	" 19,318 "	" 19,047 "
Selected	Robi	35-39 yrs	Others	Chittagong Metro	14149	4440	" 9,508 "	" 9,462 "
Selected	Robi	40-44 yrs	2G Device	Chittagong Metro	51862	5412	" 6,297 "	" 6,145 "
Selected	Robi	40-44 yrs	3G Device	Chittagong Metro	63819	32631	" 65,435 "	" 65,120 "
Selected	Robi	40-44 yrs	4G Device	Chittagong Metro	24277	17079	" 57,671 "	" 57,571 "
Selected	Robi	40-44 yrs	Basic	Chittagong Metro	100405	9516	" 13,667 "	" 13,473 "
Selected	Robi	40-44 yrs	Others	Chittagong Metro	10016	3179	" 6,412 "	" 6,378 "
Selected	Robi	45-59 yrs	2G Device	Chittagong Metro	96179	9827	" 11,434 "	" 11,159 "
Selected	Robi	45-59 yrs	3G Device	Chittagong Metro	104369	53596	" 105,005 "	" 104,470 "
Selected	Robi	45-59 yrs	4G Device	Chittagong Metro	39307	27490	" 87,938 "	" 87,774 "
Selected	Robi	45-59 yrs	Basic	Chittagong Metro	175059	16796	" 23,744 "	" 23,397 "
Selected	Robi	45-59 yrs	Others	Chittagong Metro	16872	5306	" 10,680 "	" 10,624 "
Selected	Robi	60+ yrs	2G Device	Chittagong Metro	25541	1834	" 2,090 "	" 2,037 "
Selected	Robi	60+ yrs	3G Device	Chittagong Metro	22018	10234	" 19,887 "	" 19,783 "
Selected	Robi	60+ yrs	4G Device	Chittagong Metro	8517	5627	" 17,987 "	" 17,952 "
Selected	Robi	60+ yrs	Basic	Chittagong Metro	45568	3218	" 4,224 "	" 4,158 "
Selected	Robi	60+ yrs	Others	Chittagong Metro	4648	964	" 2,152 "	" 2,140 "
Selected	Robi	OTHERS	2G Device	Chittagong Metro	17	0	 -   	
Selected	Robi	OTHERS	3G Device	Chittagong Metro	17	0	 -   	
Selected	Robi	OTHERS	4G Device	Chittagong Metro	2	0	 -   	
Selected	Robi	OTHERS	Basic	Chittagong Metro	20	0	 -   	
Selected	Robi	OTHERS	Others	Chittagong Metro	75	0	 0 	
Selected	Robi	<=24 yrs	2G Device	Chittagong North	11041	2173	" 3,018 "	" 2,973 "
Selected	Robi	<=24 yrs	3G Device	Chittagong North	20165	13172	" 28,175 "	" 28,080 "
Selected	Robi	<=24 yrs	4G Device	Chittagong North	10243	8144	" 28,907 "	" 28,876 "
Selected	Robi	<=24 yrs	Basic	Chittagong North	22076	3888	" 6,087 "	" 6,023 "
Selected	Robi	<=24 yrs	Others	Chittagong North	2929	1268	" 2,465 "	" 2,453 "
Selected	Robi	25-29 yrs	2G Device	Chittagong North	37952	4901	" 6,906 "	" 6,797 "
Selected	Robi	25-29 yrs	3G Device	Chittagong North	60780	36881	" 77,369 "	" 77,110 "
Selected	Robi	25-29 yrs	4G Device	Chittagong North	27466	21596	" 75,378 "	" 75,300 "
Selected	Robi	25-29 yrs	Basic	Chittagong North	75635	8734	" 13,449 "	" 13,299 "
Selected	Robi	25-29 yrs	Others	Chittagong North	8633	3085	" 6,649 "	" 6,623 "
Selected	Robi	30-34 yrs	2G Device	Chittagong North	53064	4965	" 6,930 "	" 6,817 "
Selected	Robi	30-34 yrs	3G Device	Chittagong North	76017	42549	" 85,738 "	" 85,412 "
Selected	Robi	30-34 yrs	4G Device	Chittagong North	33791	25900	" 83,738 "	" 83,639 "
Selected	Robi	30-34 yrs	Basic	Chittagong North	104385	8970	" 13,628 "	" 13,462 "
Selected	Robi	30-34 yrs	Others	Chittagong North	11234	3251	" 6,655 "	" 6,620 "
Selected	Robi	35-39 yrs	2G Device	Chittagong North	50554	4272	" 5,302 "	" 5,181 "
Selected	Robi	35-39 yrs	3G Device	Chittagong North	63915	34882	" 66,420 "	" 66,148 "
Selected	Robi	35-39 yrs	4G Device	Chittagong North	25900	19794	" 59,504 "	" 59,423 "
Selected	Robi	35-39 yrs	Basic	Chittagong North	94837	7400	" 11,007 "	" 10,862 "
Selected	Robi	35-39 yrs	Others	Chittagong North	9937	2518	" 4,856 "	" 4,829 "
Selected	Robi	40-44 yrs	2G Device	Chittagong North	38903	3409	" 3,890 "	" 3,796 "
Selected	Robi	40-44 yrs	3G Device	Chittagong North	44237	24193	" 45,596 "	" 45,404 "
Selected	Robi	40-44 yrs	4G Device	Chittagong North	17377	13214	" 39,506 "	" 39,451 "
Selected	Robi	40-44 yrs	Basic	Chittagong North	72138	5692	" 7,654 "	" 7,540 "
Selected	Robi	40-44 yrs	Others	Chittagong North	7583	1763	" 3,438 "	" 3,417 "
Selected	Robi	45-59 yrs	2G Device	Chittagong North	76047	6527	" 7,335 "	" 7,154 "
Selected	Robi	45-59 yrs	3G Device	Chittagong North	76890	42185	" 76,870 "	" 76,529 "
Selected	Robi	45-59 yrs	4G Device	Chittagong North	30114	23132	" 68,200 "	" 68,102 "
Selected	Robi	45-59 yrs	Basic	Chittagong North	141442	10370	" 14,386 "	" 14,176 "
Selected	Robi	45-59 yrs	Others	Chittagong North	13684	3329	" 6,246 "	" 6,209 "
Selected	Robi	60+ yrs	2G Device	Chittagong North	24074	1481	" 1,453 "	" 1,410 "
Selected	Robi	60+ yrs	3G Device	Chittagong North	21152	11268	" 19,487 "	" 19,399 "
Selected	Robi	60+ yrs	4G Device	Chittagong North	9203	7107	" 19,611 "	" 19,581 "
Selected	Robi	60+ yrs	Basic	Chittagong North	47681	2471	" 3,360 "	" 3,313 "
Selected	Robi	60+ yrs	Others	Chittagong North	4288	853	" 1,545 "	" 1,537 "
Selected	Robi	OTHERS	2G Device	Chittagong North	8	0	 -   	
Selected	Robi	OTHERS	3G Device	Chittagong North	6	0	 -   	
Selected	Robi	OTHERS	4G Device	Chittagong North	1	0	 -   	
Selected	Robi	OTHERS	Basic	Chittagong North	8	0	 -   	
Selected	Robi	OTHERS	Others	Chittagong North	22	0	 -   	
Selected	Robi	<=24 yrs	2G Device	Chittagong South	10832	1840	" 2,525 "	" 2,485 "
Selected	Robi	<=24 yrs	3G Device	Chittagong South	17851	11296	" 23,993 "	" 23,912 "
Selected	Robi	<=24 yrs	4G Device	Chittagong South	8330	6568	" 24,121 "	" 24,096 "
Selected	Robi	<=24 yrs	Basic	Chittagong South	26624	3773	" 5,981 "	" 5,922 "
Selected	Robi	<=24 yrs	Others	Chittagong South	3090	1194	" 2,540 "	" 2,531 "
Selected	Robi	25-29 yrs	2G Device	Chittagong South	36544	4441	" 6,602 "	" 6,505 "
Selected	Robi	25-29 yrs	3G Device	Chittagong South	54677	32014	" 69,585 "	" 69,340 "
Selected	Robi	25-29 yrs	4G Device	Chittagong South	23527	17984	" 66,011 "	" 65,941 "
Selected	Robi	25-29 yrs	Basic	Chittagong South	91399	9354	" 14,158 "	" 13,997 "
Selected	Robi	25-29 yrs	Others	Chittagong South	8512	3016	" 6,887 "	" 6,862 "
Selected	Robi	30-34 yrs	2G Device	Chittagong South	55457	4977	" 7,222 "	" 7,108 "
Selected	Robi	30-34 yrs	3G Device	Chittagong South	71482	38655	" 83,739 "	" 83,436 "
Selected	Robi	30-34 yrs	4G Device	Chittagong South	28779	21288	" 76,526 "	" 76,438 "
Selected	Robi	30-34 yrs	Basic	Chittagong South	134824	10647	" 16,336 "	" 16,143 "
Selected	Robi	30-34 yrs	Others	Chittagong South	11845	3463	" 7,916 "	" 7,884 "
Selected	Robi	35-39 yrs	2G Device	Chittagong South	51415	4018	" 5,266 "	" 5,161 "
Selected	Robi	35-39 yrs	3G Device	Chittagong South	58465	30349	" 62,637 "	" 62,387 "
Selected	Robi	35-39 yrs	4G Device	Chittagong South	21409	15599	" 52,850 "	" 52,778 "
Selected	Robi	35-39 yrs	Basic	Chittagong South	121767	8416	" 12,374 "	" 12,212 "
Selected	Robi	35-39 yrs	Others	Chittagong South	10177	2635	" 5,558 "	" 5,533 "
Selected	Robi	40-44 yrs	2G Device	Chittagong South	35475	2793	" 3,715 "	" 3,640 "
Selected	Robi	40-44 yrs	3G Device	Chittagong South	37241	19355	" 38,552 "	" 38,391 "
Selected	Robi	40-44 yrs	4G Device	Chittagong South	12880	9427	" 30,788 "	" 30,747 "
Selected	Robi	40-44 yrs	Basic	Chittagong South	83722	5553	" 8,138 "	" 8,026 "
Selected	Robi	40-44 yrs	Others	Chittagong South	7141	1626	" 3,363 "	" 3,348 "
Selected	Robi	45-59 yrs	2G Device	Chittagong South	66684	5415	" 6,528 "	" 6,379 "
Selected	Robi	45-59 yrs	3G Device	Chittagong South	64971	33977	" 66,831 "	" 66,540 "
Selected	Robi	45-59 yrs	4G Device	Chittagong South	22420	16473	" 53,149 "	" 53,071 "
Selected	Robi	45-59 yrs	Basic	Chittagong South	157124	10836	" 15,122 "	" 14,910 "
Selected	Robi	45-59 yrs	Others	Chittagong South	12856	3158	" 6,483 "	" 6,448 "
Selected	Robi	60+ yrs	2G Device	Chittagong South	20465	1390	" 1,808 "	" 1,772 "
Selected	Robi	60+ yrs	3G Device	Chittagong South	18482	9664	" 18,887 "	" 18,814 "
Selected	Robi	60+ yrs	4G Device	Chittagong South	6980	5210	" 15,328 "	" 15,306 "
Selected	Robi	60+ yrs	Basic	Chittagong South	49979	2826	" 4,145 "	" 4,093 "
Selected	Robi	60+ yrs	Others	Chittagong South	3894	822	" 1,600 "	" 1,592 "
Selected	Robi	OTHERS	2G Device	Chittagong South	13	0	 -   	
Selected	Robi	OTHERS	3G Device	Chittagong South	8	0	 -   	
Selected	Robi	OTHERS	4G Device	Chittagong South	2	0	 -   	
Selected	Robi	OTHERS	Basic	Chittagong South	25	0	 -   	
Selected	Robi	OTHERS	Others	Chittagong South	20	0	 -   	
Selected	Robi	<=24 yrs	2G Device	Comilla	7379	1332	" 1,902 "	" 1,878 "
Selected	Robi	<=24 yrs	3G Device	Comilla	14759	9303	" 18,337 "	" 18,269 "
Selected	Robi	<=24 yrs	4G Device	Comilla	7041	5352	" 17,350 "	" 17,326 "
Selected	Robi	<=24 yrs	Basic	Comilla	15589	2563	" 4,050 "	" 4,012 "
Selected	Robi	<=24 yrs	Others	Comilla	1640	540	 818 	 812 
Selected	Robi	25-29 yrs	2G Device	Comilla	26700	3257	" 4,510 "	" 4,447 "
Selected	Robi	25-29 yrs	3G Device	Comilla	44913	26455	" 52,289 "	" 52,097 "
Selected	Robi	25-29 yrs	4G Device	Comilla	20312	15398	" 47,518 "	" 47,461 "
Selected	Robi	25-29 yrs	Basic	Comilla	57006	6975	" 10,781 "	" 10,683 "
Selected	Robi	25-29 yrs	Others	Comilla	5378	1619	" 2,591 "	" 2,576 "
Selected	Robi	30-34 yrs	2G Device	Comilla	42245	3768	" 5,063 "	" 4,989 "
Selected	Robi	30-34 yrs	3G Device	Comilla	62946	35357	" 66,765 "	" 66,502 "
Selected	Robi	30-34 yrs	4G Device	Comilla	28387	21371	" 61,224 "	" 61,143 "
Selected	Robi	30-34 yrs	Basic	Comilla	89989	8310	" 12,517 "	" 12,387 "
Selected	Robi	30-34 yrs	Others	Comilla	8392	2131	" 3,604 "	" 3,577 "
Selected	Robi	35-39 yrs	2G Device	Comilla	40439	3290	" 4,370 "	" 4,298 "
Selected	Robi	35-39 yrs	3G Device	Comilla	53637	29519	" 55,174 "	" 54,953 "
Selected	Robi	35-39 yrs	4G Device	Comilla	22866	17168	" 47,738 "	" 47,669 "
Selected	Robi	35-39 yrs	Basic	Comilla	83788	7089	" 10,204 "	" 10,092 "
Selected	Robi	35-39 yrs	Others	Comilla	7637	1796	" 2,721 "	" 2,702 "
Selected	Robi	40-44 yrs	2G Device	Comilla	27247	2262	" 2,981 "	" 2,925 "
Selected	Robi	40-44 yrs	3G Device	Comilla	34307	18826	" 34,455 "	" 34,308 "
Selected	Robi	40-44 yrs	4G Device	Comilla	14113	10484	" 29,997 "	" 29,952 "
Selected	Robi	40-44 yrs	Basic	Comilla	56994	4861	" 7,041 "	" 6,962 "
Selected	Robi	40-44 yrs	Others	Comilla	5410	1114	" 1,647 "	" 1,634 "
Selected	Robi	45-59 yrs	2G Device	Comilla	54626	4426	" 5,743 "	" 5,641 "
Selected	Robi	45-59 yrs	3G Device	Comilla	61565	33981	" 60,788 "	" 60,523 "
Selected	Robi	45-59 yrs	4G Device	Comilla	25027	18742	" 51,555 "	" 51,476 "
Selected	Robi	45-59 yrs	Basic	Comilla	115270	9407	" 13,746 "	" 13,598 "
Selected	Robi	45-59 yrs	Others	Comilla	9768	2067	" 3,346 "	" 3,323 "
Selected	Robi	60+ yrs	2G Device	Comilla	18318	1048	" 1,322 "	" 1,296 "
Selected	Robi	60+ yrs	3G Device	Comilla	17892	9728	" 17,482 "	" 17,415 "
Selected	Robi	60+ yrs	4G Device	Comilla	7829	5912	" 15,272 "	" 15,248 "
Selected	Robi	60+ yrs	Basic	Comilla	39815	2314	" 3,316 "	" 3,281 "
Selected	Robi	60+ yrs	Others	Comilla	3224	629	 994 	 987 
Selected	Robi	OTHERS	2G Device	Comilla	6	0	 -   	
Selected	Robi	OTHERS	3G Device	Comilla	6	0	 -   	
Selected	Robi	OTHERS	4G Device	Comilla	2	0	 -   	
Selected	Robi	OTHERS	Basic	Comilla	13	0	 -   	
Selected	Robi	OTHERS	Others	Comilla	25	0	 -   	
Selected	Robi	<=24 yrs	2G Device	Dhaka Metro	10971	1661	" 2,190 "	" 2,146 "
Selected	Robi	<=24 yrs	3G Device	Dhaka Metro	23721	10486	" 17,057 "	" 16,885 "
Selected	Robi	<=24 yrs	4G Device	Dhaka Metro	15335	8646	" 18,575 "	" 18,467 "
Selected	Robi	<=24 yrs	Basic	Dhaka Metro	21609	3283	" 4,323 "	" 4,248 "
Selected	Robi	<=24 yrs	Others	Dhaka Metro	4325	998	" 1,216 "	" 1,196 "
Selected	Robi	25-29 yrs	2G Device	Dhaka Metro	28029	3495	" 4,484 "	" 4,395 "
Selected	Robi	25-29 yrs	3G Device	Dhaka Metro	54251	22489	" 39,769 "	" 39,418 "
Selected	Robi	25-29 yrs	4G Device	Dhaka Metro	31332	17420	" 42,219 "	" 42,035 "
Selected	Robi	25-29 yrs	Basic	Dhaka Metro	56208	6347	" 8,772 "	" 8,622 "
Selected	Robi	25-29 yrs	Others	Dhaka Metro	8535	1723	" 2,431 "	" 2,400 "
Selected	Robi	30-34 yrs	2G Device	Dhaka Metro	34948	3336	" 4,284 "	" 4,196 "
Selected	Robi	30-34 yrs	3G Device	Dhaka Metro	59726	23389	" 42,803 "	" 42,453 "
Selected	Robi	30-34 yrs	4G Device	Dhaka Metro	32490	17627	" 45,447 "	" 45,274 "
Selected	Robi	30-34 yrs	Basic	Dhaka Metro	69476	6686	" 9,487 "	" 9,335 "
Selected	Robi	30-34 yrs	Others	Dhaka Metro	10158	1684	" 2,465 "	" 2,432 "
Selected	Robi	35-39 yrs	2G Device	Dhaka Metro	32255	2757	" 3,440 "	" 3,363 "
Selected	Robi	35-39 yrs	3G Device	Dhaka Metro	51294	19681	" 36,041 "	" 35,746 "
Selected	Robi	35-39 yrs	4G Device	Dhaka Metro	27710	14958	" 39,607 "	" 39,462 "
Selected	Robi	35-39 yrs	Basic	Dhaka Metro	60608	5363	" 7,526 "	" 7,398 "
Selected	Robi	35-39 yrs	Others	Dhaka Metro	8520	1296	" 1,714 "	" 1,686 "
Selected	Robi	40-44 yrs	2G Device	Dhaka Metro	24190	1994	" 2,474 "	" 2,412 "
Selected	Robi	40-44 yrs	3G Device	Dhaka Metro	40979	14263	" 26,103 "	" 25,869 "
Selected	Robi	40-44 yrs	4G Device	Dhaka Metro	21137	11035	" 28,546 "	" 28,423 "
Selected	Robi	40-44 yrs	Basic	Dhaka Metro	42635	3955	" 5,446 "	" 5,349 "
Selected	Robi	40-44 yrs	Others	Dhaka Metro	6248	873	" 1,385 "	" 1,367 "
Selected	Robi	45-59 yrs	2G Device	Dhaka Metro	46998	3665	" 4,490 "	" 4,367 "
Selected	Robi	45-59 yrs	3G Device	Dhaka Metro	65808	23659	" 42,951 "	" 42,530 "
Selected	Robi	45-59 yrs	4G Device	Dhaka Metro	35629	17727	" 42,159 "	" 41,928 "
Selected	Robi	45-59 yrs	Basic	Dhaka Metro	80429	6929	" 9,658 "	" 9,480 "
Selected	Robi	45-59 yrs	Others	Dhaka Metro	10118	1411	" 1,919 "	" 1,888 "
Selected	Robi	60+ yrs	2G Device	Dhaka Metro	12528	656	 714 	 691 
Selected	Robi	60+ yrs	3G Device	Dhaka Metro	14767	4315	" 7,337 "	" 7,253 "
Selected	Robi	60+ yrs	4G Device	Dhaka Metro	7902	3482	" 7,418 "	" 7,371 "
Selected	Robi	60+ yrs	Basic	Dhaka Metro	19067	1256	" 1,824 "	" 1,792 "
Selected	Robi	60+ yrs	Others	Dhaka Metro	2910	273	 327 	 320 
Selected	Robi	OTHERS	2G Device	Dhaka Metro	37	0	 0 	
Selected	Robi	OTHERS	3G Device	Dhaka Metro	27	1	 0 	 0 
Selected	Robi	OTHERS	4G Device	Dhaka Metro	3	1	 2 	 2 
Selected	Robi	OTHERS	Basic	Dhaka Metro	34	0	 -   	
Selected	Robi	OTHERS	Others	Dhaka Metro	84	2	 1 	 1 
Selected	Robi	<=24 yrs	2G Device	Dhaka North	11057	1921	" 2,491 "	" 2,442 "
Selected	Robi	<=24 yrs	3G Device	Dhaka North	21480	10283	" 17,274 "	" 17,126 "
Selected	Robi	<=24 yrs	4G Device	Dhaka North	11620	6836	" 16,807 "	" 16,732 "
Selected	Robi	<=24 yrs	Basic	Dhaka North	22439	3578	" 5,030 "	" 4,953 "
Selected	Robi	<=24 yrs	Others	Dhaka North	3642	974	 967 	 952 
Selected	Robi	25-29 yrs	2G Device	Dhaka North	28710	3601	" 4,422 "	" 4,330 "
Selected	Robi	25-29 yrs	3G Device	Dhaka North	47322	20138	" 36,062 "	" 35,759 "
Selected	Robi	25-29 yrs	4G Device	Dhaka North	22399	12801	" 32,545 "	" 32,420 "
Selected	Robi	25-29 yrs	Basic	Dhaka North	58361	6626	" 9,119 "	" 8,959 "
Selected	Robi	25-29 yrs	Others	Dhaka North	6914	1466	" 1,645 "	" 1,618 "
Selected	Robi	30-34 yrs	2G Device	Dhaka North	37447	3501	" 4,437 "	" 4,342 "
Selected	Robi	30-34 yrs	3G Device	Dhaka North	55578	21942	" 39,550 "	" 39,211 "
Selected	Robi	30-34 yrs	4G Device	Dhaka North	23961	13328	" 35,879 "	" 35,755 "
Selected	Robi	30-34 yrs	Basic	Dhaka North	78131	7167	" 9,656 "	" 9,479 "
Selected	Robi	30-34 yrs	Others	Dhaka North	8910	1585	" 1,956 "	" 1,921 "
Selected	Robi	35-39 yrs	2G Device	Dhaka North	32723	2778	" 3,937 "	" 3,852 "
Selected	Robi	35-39 yrs	3G Device	Dhaka North	45124	17422	" 31,917 "	" 31,649 "
Selected	Robi	35-39 yrs	4G Device	Dhaka North	19986	10853	" 28,617 "	" 28,509 "
Selected	Robi	35-39 yrs	Basic	Dhaka North	64311	5736	" 8,091 "	" 7,954 "
Selected	Robi	35-39 yrs	Others	Dhaka North	7382	1174	" 1,520 "	" 1,495 "
Selected	Robi	40-44 yrs	2G Device	Dhaka North	22399	1995	" 2,492 "	" 2,433 "
